"Nova Poshta Checkout","Nova Poshta Checkout"
"Nova Poshta Checkout Section","Nova Poshta Checkout Section"
"Address Composition","Address Composition"
"Postcode Strategy","Postcode Strategy"
"Allowed values: sentinel (always 00000), oblast_centre (postcode of the oblast centre).","Allowed values: sentinel (always 00000), oblast_centre (postcode of the oblast centre)."
"Warehouse Categories","Warehouse Categories"
"Comma-separated Nova Poshta warehouse categories offered at checkout. Allowed values: Branch, Store, Postomat, DropOff, Fulfillment.","Comma-separated Nova Poshta warehouse categories offered at checkout. Allowed values: Branch, Store, Postomat, DropOff, Fulfillment."
"City Search Result Limit","City Search Result Limit"
"Maximum number of cities returned by the city search endpoint.","Maximum number of cities returned by the city search endpoint."
"Warehouse Search Result Limit","Warehouse Search Result Limit"
"Maximum number of warehouses returned by the warehouse list endpoint.","Maximum number of warehouses returned by the warehouse list endpoint."
"Delivery method","Delivery method"
"City","City"
"Warehouse","Warehouse"
"Start typing a city name…","Start typing a city name…"
"Start typing a warehouse address or number…","Start typing a warehouse address or number…"
"Choose a city first","Choose a city first"
"No cities found","No cities found"
"No warehouses found","No warehouses found"
"Nova Poshta — Self-Pickup","Nova Poshta — Self-Pickup"
"Warehouse Number","Warehouse Number"
